3
4
0	 -1	0		0	0	0	0	0	0	0	0
1	 -1	250	IQBAL	1	1	0	250	0	0	0	0
2	 -1	0		0	0	0	0	0	0	0	0
3	 2	300	IQBAL	1	1	0	300	0	0	0	0
4	 -1	400	IQBAL	1	1	0	400	0	0	0	0
5	 0	200	STATION	0	1	0	1200	0	0	0	0
6	 -1	200	JOHAR	1	1	0	200	0	0	0	0
7	 -1	0		0	0	0	0	0	0	0	0
8	 -1	250	JOHAR	1	1	0	250	0	0	0	0
9	 1	200	STATION	0	1	0	1200	0	0	0	0
10	 -1	0		0	0	0	0	0	0	0	0
11	 -1	300	FAISAL	1	1	0	300	0	0	0	0
12	 -1	450	UTILITY	0	1	0	500	0	0	0	0
13	 0	400	FAISAL	1	1	0	400	0	0	0	0
14	 -1	400	FAISAL	1	1	0	400	0	0	0	0
15	 -1	200	STATION	0	1	0	1500	0	0	0	0
16	 0	800	MODEL	1	1	0	800	0	0	0	0
17	 -1	0		0	0	0	0	0	0	0	0
18	 -1	850	MODEL	1	1	0	850	0	0	0	0
19	 -1	1500	MODEL	1	1	0	1500	0	0	0	0
20	 -1	0		0	0	0	0	0	0	0	0
21	 2	1000	GULBERG	1	1	0	1000	0	0	0	0
22	 -1	0		0	0	0	0	0	0	0	0
23	 -1	1200	GULBERG	1	1	0	1200	0	0	0	0
24	 0	200	GULBERG	1	1	0	1700	0	0	0	0
25	 -1	350	STATION	0	1	0	1400	0	0	0	0
26	 -1	500	UTILITY	0	1	0	800	0	0	0	0
27	 -1	200	DHA	1	1	0	1200	0	0	0	0
28	 -1	0		0	0	0	0	0	0	0	0
29	 -1	200	DHA	1	1	0	1200	0	0	0	0
30	 -1	0		0	0	0	0	0	0	0	0
31	 -1	35	UTILITY	0	1	0	1500	0	0	0	0
32	 -1	230	DHA	1	1	0	1400	0	0	0	0
33	 -1	0		0	0	0	0	0	0	0	0
34	 -1	250	BAHRIA	1	1	0	300	0	0	0	0
35	 -1	350	STATION	0	1	0	600	0	0	0	0
36	 -1	0		0	0	0	0	0	0	0	0
37	 -1	1600	BAHRIA	1	1	0	1600	0	0	0	0
38	 -1	0		0	0	0	0	0	0	0	0
39	 -1	300	BAHRIA	1	1	0	900	0	0	0	0
